({'lmb': 1e-05, 'lr': 0.001, 'lr_decay': 0.5, 'lr_step': 100}, 0.00031067131203599274, 0.000548571115359664)
({'lmb': 1e-05, 'lr': 0.001, 'lr_decay': 0.5, 'lr_step': 200}, 0.00017476560606155545, 0.0006213152664713562)
({'lmb': 1e-05, 'lr': 0.001, 'lr_decay': 0.5, 'lr_step': 500}, 0.0009710739250294864, 0.001288364757783711)
({'lmb': 1e-05, 'lr': 0.001, 'lr_decay': 0.3, 'lr_step': 100}, 0.0005141387809999287, 0.0006273462786339223)
({'lmb': 1e-05, 'lr': 0.001, 'lr_decay': 0.3, 'lr_step': 200}, 0.00020623943419195712, 0.0005697523592971265)
({'lmb': 1e-05, 'lr': 0.001, 'lr_decay': 0.3, 'lr_step': 500}, 0.0005709092365577817, 0.0015507035423070192)
({'lmb': 1e-05, 'lr': 0.0005, 'lr_decay': 0.5, 'lr_step': 100}, 0.00047670473577454686, 0.0005532321520149708)
({'lmb': 1e-05, 'lr': 0.0005, 'lr_decay': 0.5, 'lr_step': 200}, 0.0002677923475857824, 0.0005359927308745682)
({'lmb': 1e-05, 'lr': 0.0005, 'lr_decay': 0.5, 'lr_step': 500}, 0.0005856450297869742, 0.001182211097329855)
({'lmb': 1e-05, 'lr': 0.0005, 'lr_decay': 0.3, 'lr_step': 100}, 0.0008669455419294536, 0.0009014288079924881)
({'lmb': 1e-05, 'lr': 0.0005, 'lr_decay': 0.3, 'lr_step': 200}, 0.0003081977483816445, 0.0005184452747926116)
({'lmb': 1e-05, 'lr': 0.0005, 'lr_decay': 0.3, 'lr_step': 500}, 0.0014302099589258432, 0.0018783885752782226)
({'lmb': 1e-05, 'lr': 1e-05, 'lr_decay': 0.5, 'lr_step': 100}, 0.02328670024871826, 0.022293800488114357)
({'lmb': 1e-05, 'lr': 1e-05, 'lr_decay': 0.5, 'lr_step': 200}, 0.02110982872545719, 0.019649118185043335)
({'lmb': 1e-05, 'lr': 1e-05, 'lr_decay': 0.5, 'lr_step': 500}, 0.02020306885242462, 0.019923027604818344)
({'lmb': 1e-05, 'lr': 1e-05, 'lr_decay': 0.3, 'lr_step': 100}, 0.02825131267309189, 0.02550913207232952)
({'lmb': 1e-05, 'lr': 1e-05, 'lr_decay': 0.3, 'lr_step': 200}, 0.021870223805308342, 0.020475007593631744)
({'lmb': 1e-05, 'lr': 1e-05, 'lr_decay': 0.3, 'lr_step': 500}, 0.020087897777557373, 0.017852257937192917)
({'lmb': 1e-06, 'lr': 0.001, 'lr_decay': 0.5, 'lr_step': 100}, 0.0003248223219998181, 0.0006529350066557527)
({'lmb': 1e-06, 'lr': 0.001, 'lr_decay': 0.5, 'lr_step': 200}, 0.00023864087415859103, 0.0007009394466876984)
({'lmb': 1e-06, 'lr': 0.001, 'lr_decay': 0.5, 'lr_step': 500}, 0.000621969171334058, 0.0014011847088113427)
({'lmb': 1e-06, 'lr': 0.001, 'lr_decay': 0.3, 'lr_step': 100}, 0.0005116997635923326, 0.000691990542691201)
({'lmb': 1e-06, 'lr': 0.001, 'lr_decay': 0.3, 'lr_step': 200}, 0.0002748765691649169, 0.0006480501033365726)
({'lmb': 1e-06, 'lr': 0.001, 'lr_decay': 0.3, 'lr_step': 500}, 0.001200613216497004, 0.0024835828226059675)
({'lmb': 1e-06, 'lr': 0.0005, 'lr_decay': 0.5, 'lr_step': 100}, 0.0004588615847751498, 0.0005969611229375005)
({'lmb': 1e-06, 'lr': 0.0005, 'lr_decay': 0.5, 'lr_step': 200}, 0.00020866372506134212, 0.0004395345749799162)
({'lmb': 1e-06, 'lr': 0.0005, 'lr_decay': 0.5, 'lr_step': 500}, 0.0006762616103515029, 0.0012046531774103642)
({'lmb': 1e-06, 'lr': 0.0005, 'lr_decay': 0.3, 'lr_step': 100}, 0.00092349573969841, 0.0009629980777390301)
({'lmb': 1e-06, 'lr': 0.0005, 'lr_decay': 0.3, 'lr_step': 200}, 0.0004059075436089188, 0.0005764224915765226)
({'lmb': 1e-06, 'lr': 0.0005, 'lr_decay': 0.3, 'lr_step': 500}, 0.0011927171144634485, 0.001431252690963447)
({'lmb': 1e-06, 'lr': 1e-05, 'lr_decay': 0.5, 'lr_step': 100}, 0.023145759478211403, 0.02168799564242363)
({'lmb': 1e-06, 'lr': 1e-05, 'lr_decay': 0.5, 'lr_step': 200}, 0.021561335772275925, 0.02041240967810154)
({'lmb': 1e-06, 'lr': 1e-05, 'lr_decay': 0.5, 'lr_step': 500}, 0.02001393958926201, 0.018914097920060158)
({'lmb': 1e-06, 'lr': 1e-05, 'lr_decay': 0.3, 'lr_step': 100}, 0.02818715199828148, 0.025794824585318565)
({'lmb': 1e-06, 'lr': 1e-05, 'lr_decay': 0.3, 'lr_step': 200}, 0.022006148472428322, 0.02075415663421154)
({'lmb': 1e-06, 'lr': 1e-05, 'lr_decay': 0.3, 'lr_step': 500}, 0.019662803038954735, 0.01931336522102356)
({'lmb': 1e-07, 'lr': 0.001, 'lr_decay': 0.5, 'lr_step': 100}, 0.00039579012081958354, 0.0006429600180126727)
({'lmb': 1e-07, 'lr': 0.001, 'lr_decay': 0.5, 'lr_step': 200}, 0.000747350393794477, 0.0010913606965914369)
({'lmb': 1e-07, 'lr': 0.001, 'lr_decay': 0.5, 'lr_step': 500}, 0.0005621082964353263, 0.001643672469072044)
({'lmb': 1e-07, 'lr': 0.001, 'lr_decay': 0.3, 'lr_step': 100}, 0.0005454134079627693, 0.0007452699355781078)
({'lmb': 1e-07, 'lr': 0.001, 'lr_decay': 0.3, 'lr_step': 200}, 0.00019316383986733854, 0.0005871975445188582)
({'lmb': 1e-07, 'lr': 0.001, 'lr_decay': 0.3, 'lr_step': 500}, 0.0007860371842980385, 0.0015757291112095118)
({'lmb': 1e-07, 'lr': 0.0005, 'lr_decay': 0.5, 'lr_step': 100}, 0.0005113124498166144, 0.0006264181574806571)
({'lmb': 1e-07, 'lr': 0.0005, 'lr_decay': 0.5, 'lr_step': 200}, 0.00027579523157328367, 0.0005736247403547168)
({'lmb': 1e-07, 'lr': 0.0005, 'lr_decay': 0.5, 'lr_step': 500}, 0.0013391034444794059, 0.0014998037368059158)
({'lmb': 1e-07, 'lr': 0.0005, 'lr_decay': 0.3, 'lr_step': 100}, 0.0007876078016124666, 0.0009807924507185817)
({'lmb': 1e-07, 'lr': 0.0005, 'lr_decay': 0.3, 'lr_step': 200}, 0.00040693150367587805, 0.0005327523103915155)
({'lmb': 1e-07, 'lr': 0.0005, 'lr_decay': 0.3, 'lr_step': 500}, 0.0005355562316253781, 0.000983107485808432)
({'lmb': 1e-07, 'lr': 1e-05, 'lr_decay': 0.5, 'lr_step': 100}, 0.022887058556079865, 0.02147757075726986)
({'lmb': 1e-07, 'lr': 1e-05, 'lr_decay': 0.5, 'lr_step': 200}, 0.02143893949687481, 0.020732928067445755)
({'lmb': 1e-07, 'lr': 1e-05, 'lr_decay': 0.5, 'lr_step': 500}, 0.020037496462464333, 0.01980045810341835)
({'lmb': 1e-07, 'lr': 1e-05, 'lr_decay': 0.3, 'lr_step': 100}, 0.02692383900284767, 0.025144172832369804)
({'lmb': 1e-07, 'lr': 1e-05, 'lr_decay': 0.3, 'lr_step': 200}, 0.022127747535705566, 0.020915357396006584)
({'lmb': 1e-07, 'lr': 1e-05, 'lr_decay': 0.3, 'lr_step': 500}, 0.019936153665184975, 0.018931983038783073)
