({'lmb': 1e-05, 'lr': 0.01, 'lr_decay': 0.7, 'lr_step': 30}, 0.002143524819985032, 0.007014482282102108)
({'lmb': 1e-05, 'lr': 0.01, 'lr_decay': 0.7, 'lr_step': 40}, 0.006429705303162336, 0.011092674918472767)
({'lmb': 1e-05, 'lr': 0.01, 'lr_decay': 0.8, 'lr_step': 30}, 0.000997992348857224, 0.002298060804605484)
({'lmb': 1e-05, 'lr': 0.01, 'lr_decay': 0.8, 'lr_step': 40}, 0.0009433841914869845, 0.0036779455840587616)
({'lmb': 1e-05, 'lr': 0.006, 'lr_decay': 0.7, 'lr_step': 30}, 0.0013959089992567897, 0.003680948866531253)
({'lmb': 1e-05, 'lr': 0.006, 'lr_decay': 0.7, 'lr_step': 40}, 0.0009895212715491652, 0.002636593533679843)
({'lmb': 1e-05, 'lr': 0.006, 'lr_decay': 0.8, 'lr_step': 30}, 0.0011049817549064755, 0.0028407922945916653)
({'lmb': 1e-05, 'lr': 0.006, 'lr_decay': 0.8, 'lr_step': 40}, 0.001273862668313086, 0.004478265531361103)
({'lmb': 1e-05, 'lr': 0.003, 'lr_decay': 0.7, 'lr_step': 30}, 0.0013850833056494594, 0.003918707370758057)
({'lmb': 1e-05, 'lr': 0.003, 'lr_decay': 0.7, 'lr_step': 40}, 0.0010593764018267393, 0.0027292787563055754)
({'lmb': 1e-05, 'lr': 0.003, 'lr_decay': 0.8, 'lr_step': 30}, 0.0006049421499483287, 0.0015033397357910872)
({'lmb': 1e-05, 'lr': 0.003, 'lr_decay': 0.8, 'lr_step': 40}, 0.0007033192669041455, 0.0016582253156229854)
({'lmb': 1e-05, 'lr': 0.001, 'lr_decay': 0.7, 'lr_step': 30}, 0.0023133314680308104, 0.004967208486050367)
({'lmb': 1e-05, 'lr': 0.001, 'lr_decay': 0.7, 'lr_step': 40}, 0.0015286450507119298, 0.004379085265100002)
({'lmb': 1e-05, 'lr': 0.001, 'lr_decay': 0.8, 'lr_step': 30}, 0.0014904955169185996, 0.004353805910795927)
({'lmb': 1e-05, 'lr': 0.001, 'lr_decay': 0.8, 'lr_step': 40}, 0.0009934005793184042, 0.002318659331649542)
({'lmb': 1e-06, 'lr': 0.01, 'lr_decay': 0.7, 'lr_step': 30}, 0.010276997461915016, 0.0177899282425642)
({'lmb': 1e-06, 'lr': 0.01, 'lr_decay': 0.7, 'lr_step': 40}, 0.012246906757354736, 0.024018654599785805)
({'lmb': 1e-06, 'lr': 0.01, 'lr_decay': 0.8, 'lr_step': 30}, 0.001322743482887745, 0.005415778141468763)
